generator_model,judge_model,task_id,manipulated_dimension,true_value,recovered_value,correct,confidence,rep
local_stub,local_stub,dependency_order,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,dependency_order,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,dependency_order,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,dependency_order,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,dependency_order,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,dependency_order,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,dependency_order,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,dependency_order,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,dependency_order,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,dependency_order,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,dependency_order,performance,v0,v0,True,0.85,1
local_stub,local_stub,dependency_order,performance,v1,v1,True,0.85,1
local_stub,local_stub,dependency_order,readability,v0,v0,True,0.85,1
local_stub,local_stub,dependency_order,readability,v1,v1,True,0.85,1
local_stub,local_stub,dependency_order,security,v0,v0,True,0.85,1
local_stub,local_stub,dependency_order,security,v1,v1,True,0.85,1
local_stub,local_stub,grouped_statistics,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,grouped_statistics,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,grouped_statistics,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,grouped_statistics,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,grouped_statistics,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,grouped_statistics,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,grouped_statistics,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,grouped_statistics,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,grouped_statistics,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,grouped_statistics,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,grouped_statistics,performance,v0,v0,True,0.85,1
local_stub,local_stub,grouped_statistics,performance,v1,v1,True,0.85,1
local_stub,local_stub,grouped_statistics,readability,v0,v0,True,0.85,1
local_stub,local_stub,grouped_statistics,readability,v1,v1,True,0.85,1
local_stub,local_stub,grouped_statistics,security,v0,v0,True,0.85,1
local_stub,local_stub,grouped_statistics,security,v1,v1,True,0.85,1
local_stub,local_stub,lru_cache,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,lru_cache,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,lru_cache,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,lru_cache,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,lru_cache,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,lru_cache,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,lru_cache,error_handling,v0,v0,True,0.85,1
