generator_model,task_id,dimension,true_value,rep,llm_correct,keyword_correct,llm_recovered_value,keyword_predicted_value,llm_confidence,matched_markers
anthropic,dependency_order,concurrency,v0,1,True,True,v0,v0,0.6,
anthropic,dependency_order,concurrency,v0,2,True,True,v0,v0,0.6,
anthropic,dependency_order,concurrency,v0,3,True,True,v0,v0,0.6,
anthropic,dependency_order,concurrency,v0,4,True,True,v0,v0,0.6,
anthropic,dependency_order,concurrency,v0,5,True,True,v0,v0,0.6,
anthropic,dependency_order,concurrency,v1,1,False,False,v0,v0,0.6,
anthropic,dependency_order,concurrency,v1,2,False,False,v0,v0,0.6,
anthropic,dependency_order,concurrency,v1,3,False,False,v0,v0,0.6,
anthropic,dependency_order,concurrency,v1,4,False,False,v0,v0,0.6,
anthropic,dependency_order,concurrency,v1,5,False,False,v0,v0,0.6,
anthropic,dependency_order,security,v0,1,False,False,v1,v1,0.9,raise ValueError;len(
anthropic,dependency_order,security,v0,2,True,False,v0,v1,0.65,raise ValueError;len(
anthropic,dependency_order,security,v0,3,False,False,v1,v1,0.8,raise ValueError;len(
anthropic,dependency_order,security,v0,4,False,False,v1,v1,0.9,raise ValueError;len(
anthropic,dependency_order,security,v0,5,True,False,v0,v1,0.65,raise ValueError;len(
anthropic,dependency_order,security,v1,1,True,True,v1,v1,0.9,isinstance;raise ValueError;None
anthropic,dependency_order,security,v1,2,True,True,v1,v1,0.9,isinstance;raise ValueError;None
anthropic,dependency_order,security,v1,3,True,True,v1,v1,0.9,isinstance;raise ValueError;None
anthropic,dependency_order,security,v1,4,True,True,v1,v1,0.9,isinstance;raise ValueError;None
anthropic,dependency_order,security,v1,5,True,True,v1,v1,0.9,isinstance;raise ValueError;None
anthropic,lru_cache,concurrency,v0,1,True,True,v0,v0,0.5,
anthropic,lru_cache,concurrency,v0,2,True,True,v0,v0,0.6,
anthropic,lru_cache,concurrency,v0,3,True,True,v0,v0,0.5,
anthropic,lru_cache,concurrency,v0,4,True,True,v0,v0,0.6,
anthropic,lru_cache,concurrency,v0,5,True,True,v0,v0,0.5,
anthropic,lru_cache,concurrency,v1,1,True,True,v1,v1,0.93,threading;concurrent;Lock
anthropic,lru_cache,concurrency,v1,2,True,True,v1,v1,0.93,threading;concurrent;Lock
anthropic,lru_cache,concurrency,v1,3,True,True,v1,v1,0.92,threading;concurrent;Lock
anthropic,lru_cache,concurrency,v1,4,True,True,v1,v1,0.93,threading;concurrent;Lock
anthropic,lru_cache,concurrency,v1,5,True,True,v1,v1,0.93,threading;concurrent;Lock
anthropic,lru_cache,security,v0,1,True,False,v0,v1,0.6,raise ValueError;None;len(
anthropic,lru_cache,security,v0,2,True,False,v0,v1,0.6,raise ValueError;None;len(
anthropic,lru_cache,security,v0,3,True,False,v0,v1,0.6,raise ValueError;None;len(
anthropic,lru_cache,security,v0,4,True,False,v0,v1,0.6,raise ValueError;None;len(
anthropic,lru_cache,security,v0,5,False,False,v1,v1,0.85,raise ValueError;None;len(
anthropic,lru_cache,security,v1,1,True,False,v1,v0,0.9,sanitize
anthropic,lru_cache,security,v1,2,True,False,v1,v0,0.9,sanitize
anthropic,lru_cache,security,v1,3,True,False,v1,v0,0.9,sanitize
anthropic,lru_cache,security,v1,4,True,True,v1,v1,0.9,strip(;sanitize
anthropic,lru_cache,security,v1,5,True,False,v1,v0,0.9,sanitize
anthropic,merge_intervals,concurrency,v0,1,True,True,v0,v0,0.5,
anthropic,merge_intervals,concurrency,v0,2,True,True,v0,v0,0.5,
anthropic,merge_intervals,concurrency,v0,3,True,True,v0,v0,0.5,
