generator_model,task_id,dimension,true_value,predicted_value,correct,rep,code_path,matched_markers
openai,merge_intervals,security,v0,v0,True,1,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v0/rep_1.py,
openai,merge_intervals,security,v0,v0,True,2,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v0/rep_2.py,
openai,merge_intervals,security,v0,v0,True,3,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v0/rep_3.py,
openai,merge_intervals,security,v0,v0,True,4,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v0/rep_4.py,
openai,merge_intervals,security,v0,v0,True,5,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v0/rep_5.py,
openai,merge_intervals,security,v1,v1,True,1,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v1/rep_1.py,isinstance;raise ValueError;len(
openai,merge_intervals,security,v1,v1,True,2,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v1/rep_2.py,isinstance;raise ValueError;len(
openai,merge_intervals,security,v1,v1,True,3,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v1/rep_3.py,isinstance;raise ValueError;len(
openai,merge_intervals,security,v1,v1,True,4,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v1/rep_4.py,isinstance;raise ValueError;len(
openai,merge_intervals,security,v1,v1,True,5,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/security/v1/rep_5.py,isinstance;raise ValueError;len(
openai,merge_intervals,concurrency,v0,v0,True,1,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v0/rep_1.py,
openai,merge_intervals,concurrency,v0,v0,True,2,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v0/rep_2.py,
openai,merge_intervals,concurrency,v0,v0,True,3,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v0/rep_3.py,
openai,merge_intervals,concurrency,v0,v0,True,4,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v0/rep_4.py,
openai,merge_intervals,concurrency,v0,v0,True,5,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v0/rep_5.py,
openai,merge_intervals,concurrency,v1,v0,False,1,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v1/rep_1.py,
openai,merge_intervals,concurrency,v1,v0,False,2,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v1/rep_2.py,
openai,merge_intervals,concurrency,v1,v0,False,3,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v1/rep_3.py,
openai,merge_intervals,concurrency,v1,v0,False,4,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v1/rep_4.py,
openai,merge_intervals,concurrency,v1,v0,False,5,/home/cesar/papers/invert/invert/data/code/openai/merge_intervals/concurrency/v1/rep_5.py,
openai,lru_cache,security,v0,v1,False,1,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v0/rep_1.py,None;len(
openai,lru_cache,security,v0,v1,False,2,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v0/rep_2.py,None;len(
openai,lru_cache,security,v0,v1,False,3,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v0/rep_3.py,None;len(
openai,lru_cache,security,v0,v1,False,4,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v0/rep_4.py,None;len(
openai,lru_cache,security,v0,v1,False,5,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v0/rep_5.py,None;len(
openai,lru_cache,security,v1,v1,True,1,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v1/rep_1.py,raise ValueError;None;len(
openai,lru_cache,security,v1,v1,True,2,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v1/rep_2.py,raise ValueError;None;len(
openai,lru_cache,security,v1,v1,True,3,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v1/rep_3.py,raise ValueError;None;len(
openai,lru_cache,security,v1,v1,True,4,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v1/rep_4.py,raise ValueError;None;len(
openai,lru_cache,security,v1,v1,True,5,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/security/v1/rep_5.py,raise ValueError;None;len(
openai,lru_cache,concurrency,v0,v0,True,1,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v0/rep_1.py,
openai,lru_cache,concurrency,v0,v0,True,2,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v0/rep_2.py,
openai,lru_cache,concurrency,v0,v0,True,3,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v0/rep_3.py,
openai,lru_cache,concurrency,v0,v0,True,4,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v0/rep_4.py,
openai,lru_cache,concurrency,v0,v0,True,5,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v0/rep_5.py,
openai,lru_cache,concurrency,v1,v0,False,1,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v1/rep_1.py,
openai,lru_cache,concurrency,v1,v1,True,2,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v1/rep_2.py,threading;Lock
openai,lru_cache,concurrency,v1,v1,True,3,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v1/rep_3.py,threading;Lock
openai,lru_cache,concurrency,v1,v1,True,4,/home/cesar/papers/invert/invert/data/code/openai/lru_cache/concurrency/v1/rep_4.py,threading;Lock;RLock
