generator_model,task_id,dimension,rep,text_distance,ast_similarity,ast_distance,import_jaccard,function_jaccard,manifestation_score,recovery_correct,recovery_confidence,keyword_prediction,keyword_correct,structural_fingerprint_score,lock_gain,input_validation_gain,engineer_guessable,manifestation_recovery_gap,taxonomy_category
openai,merge_intervals,security,1,0.620058,0.448707,0.551293,1.000000,1.000000,0.292838,,,,1.000000,6.000000,0.000000,0.000000,yes,,
openai,merge_intervals,security,2,0.621518,0.446541,0.553459,1.000000,1.000000,0.293744,,,,1.000000,6.000000,0.000000,0.000000,yes,,
openai,merge_intervals,security,3,0.620058,0.448707,0.551293,1.000000,1.000000,0.292838,0.500000,0.850000,,1.000000,6.000000,0.000000,0.000000,yes,-0.207162,A
openai,merge_intervals,security,4,0.620058,0.448707,0.551293,1.000000,1.000000,0.292838,0.500000,0.850000,,1.000000,6.000000,0.000000,0.000000,yes,-0.207162,A
openai,merge_intervals,security,5,0.620058,0.448707,0.551293,1.000000,1.000000,0.292838,0.500000,0.850000,,1.000000,6.000000,0.000000,0.000000,yes,-0.207162,A
openai,merge_intervals,concurrency,1,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,v0,0.500000,0.000000,0.000000,0.000000,no,,
openai,merge_intervals,concurrency,2,0.085847,0.990793,0.009207,1.000000,1.000000,0.023763,,,v0,0.500000,0.000000,0.000000,0.000000,no,,
openai,merge_intervals,concurrency,3,0.046328,1.000000,0.000000,1.000000,1.000000,0.011582,0.500000,0.625000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.488418,C
openai,merge_intervals,concurrency,4,0.046328,1.000000,0.000000,1.000000,1.000000,0.011582,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.488418,C
openai,merge_intervals,concurrency,5,0.046328,1.000000,0.000000,1.000000,1.000000,0.011582,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.488418,C
openai,lru_cache,security,1,0.113006,0.938776,0.061224,1.000000,1.000000,0.043557,1.000000,0.780000,v1,0.500000,3.000000,0.000000,0.000000,yes,-0.956442,C
openai,lru_cache,security,2,0.170124,0.915331,0.084669,1.000000,1.000000,0.063698,0.500000,0.600000,v1,0.500000,3.000000,0.000000,0.000000,yes,-0.436302,C
openai,lru_cache,security,3,0.281540,0.783680,0.216320,1.000000,1.000000,0.124465,1.000000,0.690000,v1,0.500000,3.000000,0.000000,0.000000,yes,-0.875535,A
openai,lru_cache,security,4,0.113006,0.938776,0.061224,1.000000,1.000000,0.043557,1.000000,0.675000,v1,0.500000,3.000000,0.000000,0.000000,yes,-0.956442,C
openai,lru_cache,security,5,0.170124,0.915331,0.084669,1.000000,1.000000,0.063698,0.500000,0.625000,v1,0.500000,3.000000,0.000000,0.000000,yes,-0.436302,C
openai,lru_cache,concurrency,1,0.189711,0.843317,0.156683,1.000000,1.000000,0.086598,0.500000,0.500000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.413401,C
openai,lru_cache,concurrency,2,0.575137,0.522231,0.477769,0.000000,1.000000,0.513227,1.000000,0.715000,,1.000000,5.000000,1.000000,0.000000,yes,-0.486773,A
openai,lru_cache,concurrency,3,0.526316,0.584453,0.415547,0.000000,1.000000,0.485466,1.000000,0.650000,,1.000000,5.000000,1.000000,0.000000,yes,-0.514534,A
openai,lru_cache,concurrency,4,0.689900,0.539249,0.460751,0.000000,1.000000,0.537663,1.000000,0.715000,,1.000000,5.000000,1.000000,0.000000,yes,-0.462337,A
openai,lru_cache,concurrency,5,0.543964,0.629553,0.370447,0.000000,1.000000,0.478603,1.000000,0.715000,,1.000000,5.000000,1.000000,0.000000,yes,-0.521397,A
openai,rate_limiter,security,1,0.395168,0.798464,0.201536,1.000000,1.000000,0.149176,1.000000,0.775000,,1.000000,7.000000,0.000000,0.000000,yes,-0.850824,A
openai,rate_limiter,security,2,0.390895,0.798464,0.201536,1.000000,1.000000,0.148108,1.000000,0.775000,,1.000000,7.000000,0.000000,0.000000,yes,-0.851892,A
