generator_model,task_id,dimension,rep,manifestation_score,text_distance,ast_distance,import_jaccard,function_jaccard,recovery_mean,recovery_strict,recovery_partial,recovery_none,v0_correct,v1_correct,keyword_v0_correct,keyword_v1_correct,keyword_strict,keyword_partial,keyword_none,manipulation_confirmed
anthropic,dependency_order,concurrency,1,0.819381,0.892876,0.884650,0.000000,0.500000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,dependency_order,concurrency,2,0.678446,0.849315,0.864471,0.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,dependency_order,concurrency,3,0.816894,0.886736,0.880840,0.000000,0.500000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,dependency_order,concurrency,4,0.813160,0.881958,0.870682,0.000000,0.500000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,dependency_order,concurrency,5,0.819301,0.892145,0.885059,0.000000,0.500000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,dependency_order,security,1,0.519984,0.817308,0.762627,1.000000,0.500000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,dependency_order,security,2,0.533317,0.839341,0.793927,1.000000,0.500000,1.000000,1,0,0,true,true,false,true,0,1,0,true
anthropic,dependency_order,security,3,0.533032,0.838271,0.793857,1.000000,0.500000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,dependency_order,security,4,0.535087,0.830642,0.809708,1.000000,0.500000,0.500000,0,1,0,false,true,false,true,0,1,0,true
anthropic,dependency_order,security,5,0.533199,0.839131,0.793664,1.000000,0.500000,1.000000,1,0,0,true,true,false,true,0,1,0,true
anthropic,lru_cache,concurrency,1,0.417525,0.525392,0.228040,0.333333,0.750000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,lru_cache,concurrency,2,0.417525,0.525392,0.228040,0.333333,0.750000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,lru_cache,concurrency,3,0.495328,0.819347,0.245298,0.333333,0.750000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,lru_cache,concurrency,4,0.417525,0.525392,0.228040,0.333333,0.750000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,lru_cache,concurrency,5,0.418529,0.526001,0.231449,0.333333,0.750000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,lru_cache,security,1,0.978402,0.980787,0.932823,0.000000,0.000000,1.000000,1,0,0,true,true,false,false,0,0,1,true
anthropic,lru_cache,security,2,0.978402,0.980837,0.932772,0.000000,0.000000,1.000000,1,0,0,true,true,false,false,0,0,1,true
anthropic,lru_cache,security,3,0.972130,0.980859,0.907661,0.000000,0.000000,1.000000,1,0,0,true,true,false,false,0,0,1,true
anthropic,lru_cache,security,4,0.965324,0.930756,0.930538,0.000000,0.000000,1.000000,1,0,0,true,true,false,true,0,1,0,true
anthropic,lru_cache,security,5,0.978402,0.980787,0.932823,0.000000,0.000000,0.500000,0,1,0,false,true,false,false,0,0,1,true
anthropic,merge_intervals,concurrency,1,0.544698,0.721190,0.457602,0.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,merge_intervals,concurrency,2,0.544698,0.721190,0.457602,0.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,merge_intervals,concurrency,3,0.544698,0.721190,0.457602,0.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,merge_intervals,concurrency,4,0.527189,0.685943,0.422813,0.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,merge_intervals,concurrency,5,0.544420,0.720521,0.457159,0.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
anthropic,merge_intervals,security,1,0.314790,0.614236,0.644924,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,merge_intervals,security,2,0.298460,0.559237,0.634602,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,merge_intervals,security,3,0.197605,0.408276,0.382143,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,merge_intervals,security,4,0.311172,0.585930,0.658758,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,merge_intervals,security,5,0.298330,0.558794,0.634528,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,rate_limiter,concurrency,1,0.936803,0.810409,,0.000000,0.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,rate_limiter,concurrency,2,0.936744,0.810233,,0.000000,0.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,rate_limiter,concurrency,3,0.457762,0.590559,0.340490,0.600000,0.500000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,rate_limiter,concurrency,4,0.878815,0.636444,,0.000000,0.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
anthropic,rate_limiter,concurrency,5,0.503046,0.583033,0.429150,0.600000,0.400000,1.000000,1,0,0,true,true,true,true,1,0,0,true
